epoch,acc,loss,val_acc,val_loss
0,0.15625,2.32137084007,0.1115,2.30667978287
1,0.09375,2.31922960281,0.1089,2.30772968979
2,0.1875,2.24893665314,0.1237,2.31026403809
3,0.1875,2.2053027153,0.1359,2.31475954514
4,0.15625,2.23089838028,0.1156,2.3179709259
5,0.25,2.19082570076,0.1099,2.32375762939
6,0.1875,2.19729995728,0.1099,2.32993847618
7,0.1875,2.16762018204,0.1056,2.3368629921
8,0.21875,2.1514544487,0.104,2.34377886238
9,0.15625,2.19890546799,0.1056,2.34904977303
10,0.21875,2.14301419258,0.1088,2.35707358704
11,0.1875,2.12559437752,0.107,2.36360763206
12,0.21875,2.14859628677,0.1082,2.36631416245
13,0.21875,2.15594339371,0.1068,2.37135972748
14,0.1875,2.17867469788,0.107,2.36640953979
15,0.25,2.08932828903,0.1063,2.3735329483
16,0.25,2.06951999664,0.1099,2.38042315025
17,0.28125,2.13532233238,0.1103,2.38164675903
18,0.25,2.05057096481,0.1147,2.38747594757
19,0.28125,2.05894088745,0.1172,2.39326109428
20,0.28125,2.04321527481,0.1173,2.3999314537
21,0.21875,2.12548065186,0.1205,2.40025562477
22,0.28125,2.04106283188,0.1222,2.4040245697
23,0.1875,2.08212947845,0.1201,2.40722008667
24,0.3125,2.11375427246,0.12,2.40281151428
25,0.21875,2.10958480835,0.1162,2.40214511223
26,0.25,1.996997118,0.1221,2.40957825241
27,0.3125,2.02755188942,0.1261,2.41067415237
28,0.28125,2.02992153168,0.1265,2.41904020462
29,0.3125,1.96133112907,0.1359,2.42553455925
30,0.21875,2.10695886612,0.1279,2.4177787178
31,0.28125,2.06667757034,0.1275,2.4174402523
32,0.28125,1.97416186333,0.1287,2.4257682518
33,0.21875,2.0746011734,0.137,2.41042728577
34,0.1875,2.01919984818,0.1418,2.41673088531
35,0.1875,2.05783987045,0.1415,2.41143775558
36,0.28125,1.94530129433,0.1416,2.42343405533
37,0.375,1.98043346405,0.1486,2.42066577148
38,0.28125,2.04291009903,0.1495,2.41494186821
39,0.25,2.01825237274,0.1479,2.41753010139
40,0.3125,1.9300558567,0.155,2.42510306549
41,0.3125,1.93253469467,0.1495,2.43423639069
42,0.25,1.9663990736,0.1432,2.44138666878
43,0.1875,2.11105442047,0.1547,2.42419668045
44,0.25,1.91853356361,0.1581,2.4213633522
45,0.4375,1.90859103203,0.1626,2.43152975883
46,0.375,1.97364747524,0.156,2.42707916718
47,0.34375,1.9149159193,0.1564,2.4260026989
48,0.25,1.88998198509,0.1586,2.42995318146
49,0.25,1.9884275198,0.1595,2.42788795662
50,0.25,1.8476600647,0.1659,2.44385653839
51,0.46875,1.82347249985,0.1617,2.45204500046
52,0.3125,1.88515305519,0.1681,2.44268616066
53,0.3125,1.96666049957,0.1708,2.43889075089
54,0.40625,1.80939209461,0.1641,2.43194492798
55,0.40625,1.85537326336,0.1633,2.42711020012
56,0.375,1.94957244396,0.16,2.42420906754
57,0.4375,1.79081296921,0.1599,2.44032255096
58,0.4375,1.77644085884,0.1593,2.44419395218
59,0.25,1.97990369797,0.1648,2.44704183578
60,0.375,1.8193397522,0.1635,2.44895053329
61,0.46875,1.72223484516,0.1629,2.4601843277
62,0.34375,1.81183242798,0.1571,2.45194630585
63,0.375,1.83276104927,0.1567,2.44901586914
64,0.3125,1.93259716034,0.1602,2.44181080246
65,0.34375,1.80358695984,0.1667,2.4406736927
66,0.28125,1.67304396629,0.1672,2.45789241562
67,0.34375,1.87185120583,0.1692,2.43720129395
68,0.375,1.77153193951,0.1654,2.45521625023
69,0.4375,1.67064642906,0.1631,2.45899560814
70,0.46875,1.64983355999,0.1584,2.47020342293
71,0.40625,1.53787469864,0.1594,2.47939754181
72,0.3125,1.73801088333,0.163,2.47850459175
73,0.28125,1.82585144043,0.1605,2.47906934738
74,0.4375,1.50896334648,0.1644,2.49036839294
75,0.375,1.75884842873,0.1646,2.50871450233
76,0.34375,1.72128653526,0.1673,2.49075805206
77,0.34375,1.66143488884,0.17,2.48893792763
78,0.3125,1.68724763393,0.1699,2.50135093307
79,0.53125,1.50434279442,0.1676,2.51495219879
80,0.4375,1.82300102711,0.169,2.49694816437
81,0.34375,1.79456603527,0.1655,2.48989963379
82,0.4375,1.66194951534,0.1642,2.4974466835
83,0.40625,1.63939881325,0.167,2.47076742706
84,0.5,1.52869582176,0.1573,2.4947602211
85,0.53125,1.6139677763,0.163,2.48861508064
86,0.5,1.40461194515,0.1671,2.49645444717
87,0.46875,1.45156228542,0.1671,2.49099290733
88,0.40625,1.50236129761,0.1691,2.52215123062
89,0.4375,1.54042983055,0.1656,2.52025888062
90,0.40625,1.48891603947,0.1653,2.5082930069
91,0.4375,1.57039177418,0.1624,2.490078022
92,0.5625,1.45531702042,0.1571,2.53009598007
93,0.375,1.56041967869,0.159,2.4810001442
94,0.40625,1.51059913635,0.1658,2.52326993752
95,0.4375,1.41775298119,0.167,2.53165168533
96,0.40625,1.63725113869,0.156,2.5352172966
97,0.5625,1.49124026299,0.1623,2.53329760132
98,0.53125,1.48921632767,0.1624,2.52155903206
99,0.4375,1.45436692238,0.1661,2.48816753387
