epoch,acc,loss,val_acc,val_loss
0,0.0625,2.31176066399,0.0866,2.30285915604
1,0.125,2.29044389725,0.1037,2.30286605759
2,0.3125,2.28194069862,0.0999,2.30324568939
3,0.21875,2.26874256134,0.0999,2.30339907761
4,0.25,2.27143549919,0.1001,2.30443714485
5,0.1875,2.26626515388,0.1,2.30558955841
6,0.15625,2.25205016136,0.1,2.30753174858
7,0.125,2.26576280594,0.1,2.30913478851
8,0.1875,2.25124168396,0.1,2.31146269379
9,0.1875,2.1759853363,0.1,2.31805449295
10,0.1875,2.23124170303,0.1,2.32263998947
11,0.21875,2.16555929184,0.1,2.33220804749
12,0.15625,2.19738793373,0.1,2.33806642227
13,0.21875,2.18437051773,0.1,2.34619912567
14,0.125,2.13814735413,0.1,2.35743833275
15,0.1875,2.14743685722,0.1003,2.36332548065
16,0.25,2.13733530045,0.101,2.37286255722
17,0.21875,2.14342784882,0.1013,2.37754546661
18,0.1875,2.15470933914,0.1024,2.38223660202
19,0.1875,2.14710378647,0.1042,2.38089047241
20,0.25,2.123462677,0.1054,2.38958138351
21,0.21875,2.15487074852,0.1051,2.38387878036
22,0.21875,2.11127662659,0.1045,2.39094615517
23,0.21875,2.0927863121,0.1055,2.4005255909
24,0.3125,2.06817579269,0.1066,2.41092637367
25,0.28125,2.07239341736,0.106,2.41348427811
26,0.21875,2.1554145813,0.1068,2.39640927315
27,0.25,2.14131069183,0.1099,2.3889182579
28,0.21875,2.08504676819,0.1208,2.39310847015
29,0.34375,2.05769348145,0.1269,2.40125537643
30,0.3125,2.06268453598,0.1278,2.40983924561
31,0.25,2.07142233849,0.1277,2.4108496624
32,0.25,2.00497770309,0.1319,2.42607776871
33,0.28125,2.09277462959,0.1329,2.41002240524
34,0.21875,2.07364916801,0.1333,2.40837036667
35,0.25,2.09115934372,0.1417,2.39816465836
36,0.1875,2.02106046677,0.1406,2.40598623123
37,0.25,2.06859707832,0.1409,2.40150186081
38,0.25,2.03573083878,0.1437,2.40578543854
39,0.28125,1.98387670517,0.1412,2.42475156479
40,0.25,2.02898240089,0.1507,2.4108217186
41,0.25,2.07108736038,0.1461,2.39377932167
42,0.4375,1.90033459663,0.1485,2.41662380753
43,0.28125,1.99672985077,0.1471,2.41707790985
44,0.34375,1.92335510254,0.1504,2.44143896942
45,0.34375,1.9239590168,0.1504,2.43244440765
46,0.25,1.91152882576,0.151,2.44130738983
47,0.34375,1.93324446678,0.1475,2.44720350494
48,0.3125,1.88145518303,0.1528,2.44770590439
49,0.34375,1.82897055149,0.1514,2.4638649086
50,0.28125,2.00210547447,0.1579,2.44173193283
51,0.21875,1.98599243164,0.148,2.41960424881
52,0.3125,1.82390213013,0.1514,2.42914585381
53,0.25,1.78516387939,0.1559,2.4534036396
54,0.28125,1.97778975964,0.1521,2.42776177063
55,0.1875,1.97440934181,0.1524,2.4092249115
56,0.34375,1.86721205711,0.1517,2.41046314659
57,0.3125,1.81130588055,0.1569,2.4328942646
58,0.34375,1.80190455914,0.1589,2.43393265266
59,0.4375,1.67360961437,0.1634,2.46500208206
60,0.34375,1.68648517132,0.1573,2.48387380257
61,0.3125,1.81539297104,0.1589,2.45532382507
62,0.46875,1.60315775871,0.16,2.48608679085
63,0.3125,1.77306294441,0.1589,2.47721377983
64,0.21875,1.79698765278,0.1586,2.46788673935
65,0.375,1.84579408169,0.1565,2.4420054985
66,0.40625,1.66453754902,0.16,2.47427612534
67,0.375,1.7295280695,0.1583,2.4660464241
68,0.375,1.64751315117,0.1489,2.49770504684
69,0.40625,1.6120070219,0.1576,2.49655038528
70,0.40625,1.62984204292,0.1597,2.50868921318
71,0.5,1.55662584305,0.1628,2.54154474716
72,0.375,1.64848148823,0.1645,2.50814002151
73,0.40625,1.64039337635,0.1647,2.51975497169
74,0.40625,1.52304112911,0.1652,2.54391068344
75,0.375,1.70059454441,0.163,2.50858561401
76,0.4375,1.50143146515,0.1654,2.51916328239
77,0.46875,1.51989257336,0.1537,2.56711232224
78,0.53125,1.45025205612,0.1625,2.5810784977
79,0.3125,1.72501933575,0.1651,2.5323978096
80,0.46875,1.44434940815,0.1644,2.55986094055
81,0.46875,1.47984552383,0.1629,2.56928321152
82,0.5,1.58621871471,0.1611,2.52563465881
83,0.5,1.45809197426,0.159,2.57364955902
84,0.375,1.57015812397,0.1619,2.57154498672
85,0.46875,1.52384972572,0.1626,2.55847740021
86,0.59375,1.31539225578,0.1641,2.57938367157
87,0.4375,1.25924956799,0.168,2.62496903839
88,0.53125,1.48855066299,0.1572,2.61505003891
89,0.5,1.50869750977,0.1642,2.62253964691
90,0.375,1.54510509968,0.1675,2.55945691071
91,0.53125,1.33968615532,0.1637,2.60659383736
92,0.40625,1.50171852112,0.1716,2.59323210297
93,0.46875,1.3582971096,0.1673,2.59247073898
94,0.59375,1.3789358139,0.1667,2.59073034134
95,0.5625,1.22974181175,0.1616,2.65824833565
96,0.59375,1.30440247059,0.174,2.65161420708
97,0.53125,1.27169883251,0.1514,2.72055323868
98,0.46875,1.40535640717,0.1735,2.65147139969
99,0.59375,1.18996953964,0.1695,2.68330793762
